El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,0,5,19,6,37.65,0.01,0.86,21.23,324.765,66.53,1.82,1.55,1.38,1.11,1.04,1.02,0.94,0.91,0.84,0.6,0.8,0.58,0.58,0.56,0.53,0.48,0.75,0.62,0.52,0.56,40
Mixed / non conventional,0,5,6,13,36.42,0,0.73,12.51,-302.84,66.53,1.6,1.44,1.26,1.04,1.13,0.88,0.74,0.6,0.78,0.76,0.64,0.52,0.34,0.57,0.45,0.45,0.5,0.45,0.27,0.29,40
Mixed / non conventional,0,5,13,1,48.19,0,1.77,99.91,-407.202,66.53,4.05,3.58,3.28,2.73,2.37,2.25,1.95,1.73,1.59,1.68,1.41,1.3,1.25,1.12,1.13,0.98,0.72,0.75,0.82,0.72,40
Mixed / non conventional,0,5,1,7,43.74,0.01,1.63,-116.62,512.793,66.53,3.86,3.2,2.84,2.45,2.12,1.98,1.84,1.64,1.56,1.35,1.35,1.15,1.22,1.13,0.94,0.95,0.7,0.75,0.84,0.73,40
Mixed / non conventional,0,5,7,8,28.77,0.05,0.76,10,-45.325,66.53,1.92,1.96,2.55,2.39,1.31,0.34,-0.57,0.12,0.85,1.72,0.06,1.38,-0.4,0.39,1.06,1.21,-0.91,-0.69,0.53,0.04,40
Mixed / non conventional,0,5,8,17,39.63,0,0.74,-26.92,-77.141,66.53,1.28,2.12,2.09,1.15,0.67,1.26,0.91,0.89,0.8,0.31,0.54,0.48,-0.58,0.52,0.59,0.43,0.39,0.26,0.01,0.66,40
Mixed / non conventional,0,5,10,21,56.28,0.09,0.63,-18.82,-49.161,64.476,3.43,1.95,0.96,-0.44,0.64,-0.27,0.58,0.95,-1.27,0.34,1.38,1.57,0.77,1.22,-1.51,-0.33,2.35,0.49,-0.32,0.05,40
Mixed / non conventional,0,5,21,11,64.63,0.06,0.76,11.49,40.375,64.476,3.18,1.91,2.28,0.04,-0.37,-1.06,1.77,1.19,0.29,1.69,1.04,0.05,0.97,1.06,-0.87,-1.38,2.04,0.62,-0.36,1.13,40
Mixed / non conventional,0,5,11,23,66.04,0.05,1.09,-0.23,-43.153,64.476,3.57,1.41,1.97,0.15,1.68,1.1,1.56,1.64,0.73,1.49,2.8,2.51,0.06,1.23,-1.18,-0.79,0.25,-0.23,0.58,1.28,40
Mixed / non conventional,1,2,3,4,74.37,0.2,0.87,-333.73,-295.297,74.85,1.89,1.54,1.25,1.49,1.05,0.8,2.6,1.32,0.52,0.72,0.3,0.75,1.56,0.68,0.32,0.01,-0.68,0.33,1.07,-0.16,40
