El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,1,5,13,14,67.47,1.85,-1.16,1.36,-8.42,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,14,15,74.88,2.07,2.91,-16.28,-7.018,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,15,16,82.06,0.59,4.29,-4.04,-5.927,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,16,17,78.02,0.07,-0.43,22.72,-4.438,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,17,18,69.04,1.42,5.74,0.29,-3.149,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,18,19,92.49,0.85,-0.22,6.79,-3.436,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,19,20,91.48,0.8,3.92,-7.99,-2.806,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,20,2,52.47,0,1.95,156.51,-595.985,104.845,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,20,21,85.08,6.38,23.56,14.23,-2.17,104.373,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,2,3,53.86,0.02,2.18,-39.5,521.914,104.384,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,3,4,33.94,0.13,0.37,-147.19,187.954,104.384,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,4,5,55.43,5.52,2.7,289.42,537.153,104.384,1000,0,0,,,,,,,,,,,,,,,,,,40
