time,a,b,m,n,injection_duration_[ms],vmn_[mV],vmn_std_[%],iab_[mA],iab_std_[%],r_[Ohm],r_std_[%],rab_[kOhm],sp_[mV],nb_stack,vab_[V],channel_mn,injection_id,battery_voltage_tx_[V],s_samples,strategy,cmd_id
2025-08-25T23:23:56.549941,11,12,13,14,500.0,-1087.8583723262032,-0.4358900758525438,7.554750466417911,1.953161297374702,-144.04902421800364,-1.9132651644622345,6.6183522834087105,-14.229695855614978,2,50.0,0,75,11.95,134,safe,
2025-08-25T23:24:06.577525,12,13,14,15,500.0,-1030.3139204545455,-0.36511053884431555,8.29008759469697,2.126265283272841,-124.33702142871141,-2.0904240864759487,6.031299359488573,185.66903409090907,2,50.0,0,76,11.95,132,safe,
2025-08-25T23:24:14.990660,17,18,19,20,500.0,-251.44034090909096,-1.2083149503776043,2.3398117897727273,6.913766988210325,-107.98804383568365,-7.169385609583836,21.369240132282883,-13.244318181818151,2,50.0,0,77,11.95,132,safe,
2025-08-25T23:24:24.609006,18,19,20,21,500.0,-1363.9225746268658,-0.4692798315756026,3.3440508395522386,6.052452428736083,-409.33011443745147,-5.954746730624548,14.95192579269964,21.85770387700535,2,50.0,0,78,11.95,134,safe,
2025-08-25T23:24:32.912465,19,20,21,22,500.0,-1141.1027728076879,-0.6364558999427519,3.373892152255639,5.270693834862416,-339.160816356006,-5.338691710141414,14.81967939211458,39.54378342245991,2,50.0,0,79,11.95,133,safe,
2025-08-25T23:24:41.244871,20,21,22,23,500.0,-1195.221789119356,-0.4149238570379844,3.0899776785714286,6.405120427458484,-388.3965199543873,-6.434046728596737,16.181346663680824,-6.560452874331531,2,50.0,0,80,11.95,133,safe,
2025-08-25T23:24:50.863099,21,22,23,24,500.0,-760.2883522727273,-0.6432874737233236,3.140021306818182,5.58895223467595,-242.87281639924504,-5.538856841537134,15.923458828585323,18.157670454545524,2,50.0,0,81,11.95,132,safe,
2025-08-25T23:25:00.485178,22,23,24,25,500.0,-1155.1567127000321,-0.5527632084892083,3.241543703007519,4.806601804927287,-357.17229561334887,-4.773482315026431,15.424749619636401,-43.1572108957219,2,50.0,0,82,11.95,133,safe,
2025-08-25T23:25:10.098647,23,24,25,26,500.0,-1329.0809659090908,-0.525460987660346,4.623351089015151,3.5753253315170235,-287.8242080682334,-3.4719370451163587,10.814666469694997,12.149147727272691,2,50.0,0,83,11.95,132,safe,
2025-08-25T23:25:19.715272,24,25,26,27,500.0,-1166.2585227272727,-0.49526376359893215,5.678650568181819,2.365443991683028,-205.48299727517207,-2.250193980058616,8.804908736620664,20.306818181818187,2,50.0,0,84,11.95,132,safe,
2025-08-25T23:25:29.328191,25,26,27,28,500.0,-1169.0042613636365,-0.39552272537736943,7.6597324810606064,2.324549203199902,-152.69907309961474,-2.3514353642593018,6.527643115948187,29.60085227272731,2,50.0,0,85,11.95,132,safe,
